actual_cost,date,items,quantity,row_id,row_name
21377.87,2021-01-01,356,9718.0,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES"
17072.7,2021-01-01,271,7509.0,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN"
69720.26,2021-01-01,1008,31847.0,W2U3Z,NHS NORTH WEST LONDON
2516.55,2021-01-01,36,1097.0,X2C4Y,NHS KIRKLEES
7434.88,2021-02-01,123,3418.0,00L,NHS NORTHUMBERLAND
2133.78,2021-02-01,35,938.0,00N,NHS SOUTH TYNESIDE
4070.59,2021-02-01,67,1766.0,00P,NHS SUNDERLAND
2952.69,2021-02-01,52,1346.0,00Q,NHS BLACKBURN WITH DARWEN
5101.85,2021-02-01,99,2310.0,00R,NHS BLACKPOOL
4782.78,2021-02-01,77,2088.0,00T,NHS BOLTON
4158.65,2021-02-01,68,1911.0,00V,NHS BURY
1912.61,2021-02-01,29,805.0,00X,NHS CHORLEY AND SOUTH RIBBLE
2095.85,2021-02-01,33,930.0,00Y,NHS OLDHAM
7373.42,2021-02-01,120,3290.0,01A,NHS EAST LANCASHIRE
8758.09,2021-02-01,142,4080.0,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
3642.34,2021-02-01,59,1584.0,01E,NHS GREATER PRESTON
1906.08,2021-02-01,31,831.0,01F,NHS HALTON
9209.07,2021-02-01,155,4177.0,01G,NHS SALFORD
6935.15,2021-02-01,114,3090.0,01H,NHS NORTH CUMBRIA
523.36,2021-02-01,8,224.0,01J,NHS KNOWSLEY
9935.72,2021-02-01,185,4520.0,01K,NHS MORECAMBE BAY
1039.28,2021-02-01,16,448.0,01T,NHS SOUTH SEFTON
386.78,2021-02-01,6,168.0,01V,NHS SOUTHPORT AND FORMBY
5730.82,2021-02-01,92,2671.0,01W,NHS STOCKPORT
5966.18,2021-02-01,76,2904.0,01X,NHS ST HELENS
5152.82,2021-02-01,97,2448.0,01Y,NHS TAMESIDE AND GLOSSOP
5319.55,2021-02-01,88,2359.0,02A,NHS TRAFFORD
831.9,2021-02-01,14,392.0,02E,NHS WARRINGTON
2122.18,2021-02-01,33,952.0,02G,NHS WEST LANCASHIRE
10733.52,2021-02-01,180,4856.0,02H,NHS WIGAN BOROUGH
2802.36,2021-02-01,44,1234.0,02M,NHS FYLDE AND WYRE
3100.43,2021-02-01,45,1314.0,02P,NHS BARNSLEY
1000.5,2021-02-01,16,427.0,02Q,NHS BASSETLAW
2123.44,2021-02-01,27,896.0,02T,NHS CALDERDALE
1727.19,2021-02-01,23,777.0,02X,NHS DONCASTER
1288.93,2021-02-01,21,592.0,02Y,NHS EAST RIDING OF YORKSHIRE
2410.39,2021-02-01,41,1083.0,03F,NHS HULL
485.68,2021-02-01,9,210.0,03H,NHS NORTH EAST LINCOLNSHIRE
499.01,2021-02-01,8,224.0,03K,NHS NORTH LINCOLNSHIRE
302.45,2021-02-01,4,112.0,03L,NHS ROTHERHAM
14020.96,2021-02-01,219,6271.0,03N,NHS SHEFFIELD
3155.59,2021-02-01,53,1462.0,03Q,NHS VALE OF YORK
6065.03,2021-02-01,95,2690.0,03R,NHS WAKEFIELD
8501.27,2021-02-01,134,3829.0,03W,NHS EAST LEICESTERSHIRE AND RUTLAND
5951.41,2021-02-01,96,2628.0,04C,NHS LEICESTER CITY
13090.39,2021-02-01,206,5778.0,04V,NHS WEST LEICESTERSHIRE
1803.43,2021-02-01,28,812.0,04Y,NHS CANNOCK CHASE
186.69,2021-02-01,4,89.0,05D,NHS EAST STAFFORDSHIRE
808.2,2021-02-01,12,364.0,05G,NHS NORTH STAFFORDSHIRE
1472.19,2021-02-01,23,648.0,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
2008.32,2021-02-01,32,854.0,05V,NHS STAFFORD AND SURROUNDS
544.35,2021-02-01,9,252.0,05W,NHS STOKE ON TRENT
15582.71,2021-02-01,246,7101.0,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH
9604.27,2021-02-01,151,4286.0,06K,NHS EAST AND NORTH HERTFORDSHIRE
4064.58,2021-02-01,65,1858.0,06L,NHS IPSWICH AND EAST SUFFOLK
8414.81,2021-02-01,129,3719.0,06N,NHS HERTS VALLEYS
7163.9,2021-02-01,120,3357.0,06Q,NHS MID ESSEX
4325.56,2021-02-01,71,1911.0,06T,NHS NORTH EAST ESSEX
1840.84,2021-02-01,31,868.0,07G,NHS THURROCK
4156.63,2021-02-01,66,1889.0,07H,NHS WEST ESSEX
4932.55,2021-02-01,75,2184.0,07K,NHS WEST SUFFOLK
10231.39,2021-02-01,172,4685.0,09D,NHS BRIGHTON AND HOVE
20638.18,2021-02-01,318,9516.0,10Q,NHS OXFORDSHIRE
2068.41,2021-02-01,61,895.0,10R,NHS PORTSMOUTH
10042.52,2021-02-01,162,4545.0,11J,NHS DORSET
8008.09,2021-02-01,134,3625.0,11M,NHS GLOUCESTERSHIRE
5875.09,2021-02-01,119,2647.0,11N,NHS CORNWALL AND THE ISLES OF SCILLY
8544.04,2021-02-01,135,3892.0,11X,NHS SOMERSET
26761.29,2021-02-01,468,12458.0,12F,NHS WIRRAL
7665.69,2021-02-01,130,3611.0,13T,NHS NEWCASTLE GATESHEAD
11956.3,2021-02-01,190,5410.0,14L,NHS MANCHESTER
9216.85,2021-02-01,138,4218.0,14Y,NHS BUCKINGHAMSHIRE
11463.71,2021-02-01,181,5251.0,15A,NHS BERKSHIRE WEST
18851.24,2021-02-01,306,8534.0,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE"
6698.22,2021-02-01,99,3024.0,15E,NHS BIRMINGHAM AND SOLIHULL
13068.68,2021-02-01,217,5791.0,15F,NHS LEEDS
16827.38,2021-02-01,280,7673.0,15M,NHS DERBY AND DERBYSHIRE
19875.36,2021-02-01,308,8937.0,15N,NHS DEVON
5858.71,2021-02-01,97,2716.0,16C,NHS TEES VALLEY
11795.79,2021-02-01,191,5251.0,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE
24800.95,2021-02-01,396,10815.0,26A,NHS NORFOLK AND WAVENEY
20327.7,2021-02-01,402,9269.0,27D,NHS CHESHIRE
6821.13,2021-02-01,107,2962.0,36J,NHS BRADFORD DISTRICT AND CRAVEN
41035.72,2021-02-01,628,19073.0,36L,NHS SOUTH WEST LONDON
3989.77,2021-02-01,62,1822.0,42D,NHS NORTH YORKSHIRE
4953.99,2021-02-01,75,2254.0,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE
16343.05,2021-02-01,283,7375.0,70F,NHS WEST SUSSEX
24497.0,2021-02-01,403,10692.0,71E,NHS LINCOLNSHIRE
57929.17,2021-02-01,868,26001.0,72Q,NHS SOUTH EAST LONDON
19405.38,2021-02-01,314,8669.0,78H,NHS NORTHAMPTONSHIRE
8205.41,2021-02-01,139,3731.0,84H,NHS COUNTY DURHAM
69284.51,2021-02-01,1099,31024.0,91Q,NHS KENT AND MEDWAY
35793.0,2021-02-01,552,16221.0,92A,NHS SURREY HEARTLANDS
15158.41,2021-02-01,221,7004.0,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE"
43856.2,2021-02-01,670,19882.0,93C,NHS NORTH CENTRAL LONDON
9011.72,2021-02-01,143,4008.0,97R,NHS EAST SUSSEX
6826.2,2021-02-01,111,3164.0,99A,NHS LIVERPOOL
7609.14,2021-02-01,131,3369.0,99C,NHS NORTH TYNESIDE
5969.66,2021-02-01,102,2849.0,99E,NHS BASILDON AND BRENTWOOD
3073.04,2021-02-01,45,1404.0,99F,NHS CASTLE POINT AND ROCHFORD
3700.44,2021-02-01,61,1722.0,99G,NHS SOUTHEND
26767.52,2021-02-01,417,12356.0,A3A8R,NHS NORTH EAST LONDON
11336.81,2021-02-01,170,5127.0,B2M3M,NHS COVENTRY AND WARWICKSHIRE
12264.71,2021-02-01,197,5414.0,D2P2L,NHS BLACK COUNTRY
19990.3,2021-02-01,324,8961.0,D4U1Y,NHS FRIMLEY
35145.14,2021-02-01,549,15922.0,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT"
22060.74,2021-02-01,358,10012.0,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES"
16452.79,2021-02-01,261,7270.0,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN"
65578.04,2021-02-01,962,29770.0,W2U3Z,NHS NORTH WEST LONDON
2395.66,2021-02-01,33,1064.0,X2C4Y,NHS KIRKLEES
9230.57,2021-03-01,152,4235.0,00L,NHS NORTHUMBERLAND
2619.53,2021-03-01,41,1148.0,00N,NHS SOUTH TYNESIDE
5116.49,2021-03-01,84,2270.0,00P,NHS SUNDERLAND
3607.56,2021-03-01,63,1654.0,00Q,NHS BLACKBURN WITH DARWEN
6302.69,2021-03-01,117,2842.0,00R,NHS BLACKPOOL
5544.45,2021-03-01,93,2466.0,00T,NHS BOLTON
5117.14,2021-03-01,85,2373.0,00V,NHS BURY
2521.53,2021-03-01,38,1092.0,00X,NHS CHORLEY AND SOUTH RIBBLE
2188.73,2021-03-01,38,1003.0,00Y,NHS OLDHAM
9219.23,2021-03-01,156,4097.0,01A,NHS EAST LANCASHIRE
9925.71,2021-03-01,161,4629.0,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
4144.27,2021-03-01,65,1845.0,01E,NHS GREATER PRESTON
1766.36,2021-03-01,27,784.0,01F,NHS HALTON
11246.51,2021-03-01,195,5082.0,01G,NHS SALFORD
7708.96,2021-03-01,126,3462.0,01H,NHS NORTH CUMBRIA
477.94,2021-03-01,7,196.0,01J,NHS KNOWSLEY
10874.68,2021-03-01,177,4997.0,01K,NHS MORECAMBE BAY
1381.26,2021-03-01,20,588.0,01T,NHS SOUTH SEFTON
683.96,2021-03-01,11,308.0,01V,NHS SOUTHPORT AND FORMBY
6954.85,2021-03-01,109,3331.0,01W,NHS STOCKPORT
5257.22,2021-03-01,76,2503.0,01X,NHS ST HELENS
6166.99,2021-03-01,113,2936.0,01Y,NHS TAMESIDE AND GLOSSOP
5946.49,2021-03-01,102,2662.0,02A,NHS TRAFFORD
998.51,2021-03-01,15,420.0,02E,NHS WARRINGTON
2598.0,2021-03-01,41,1218.0,02G,NHS WEST LANCASHIRE
11472.46,2021-03-01,194,5225.0,02H,NHS WIGAN BOROUGH
3445.91,2021-03-01,56,1544.0,02M,NHS FYLDE AND WYRE
4011.69,2021-03-01,61,1682.0,02P,NHS BARNSLEY
1019.37,2021-03-01,18,441.0,02Q,NHS BASSETLAW
2387.97,2021-03-01,31,1036.0,02T,NHS CALDERDALE
2088.93,2021-03-01,30,980.0,02X,NHS DONCASTER
1609.9,2021-03-01,24,700.0,02Y,NHS EAST RIDING OF YORKSHIRE
2489.46,2021-03-01,43,1122.0,03F,NHS HULL
564.48,2021-03-01,10,252.0,03H,NHS NORTH EAST LINCOLNSHIRE
639.22,2021-03-01,10,280.0,03K,NHS NORTH LINCOLNSHIRE
456.94,2021-03-01,6,168.0,03L,NHS ROTHERHAM
16393.8,2021-03-01,261,7333.0,03N,NHS SHEFFIELD
3322.18,2021-03-01,55,1528.0,03Q,NHS VALE OF YORK
6752.54,2021-03-01,108,3026.0,03R,NHS WAKEFIELD
8287.97,2021-03-01,129,3677.0,03W,NHS EAST LEICESTERSHIRE AND RUTLAND
7050.81,2021-03-01,112,3164.0,04C,NHS LEICESTER CITY
16865.21,2021-03-01,269,7569.0,04V,NHS WEST LEICESTERSHIRE
2257.06,2021-03-01,35,1012.0,04Y,NHS CANNOCK CHASE
449.41,2021-03-01,8,210.0,05D,NHS EAST STAFFORDSHIRE
946.5,2021-03-01,17,454.0,05G,NHS NORTH STAFFORDSHIRE
1522.37,2021-03-01,24,674.0,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
1938.76,2021-03-01,32,828.0,05V,NHS STAFFORD AND SURROUNDS
537.72,2021-03-01,9,252.0,05W,NHS STOKE ON TRENT
16697.02,2021-03-01,270,7531.0,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH
11978.81,2021-03-01,193,5387.0,06K,NHS EAST AND NORTH HERTFORDSHIRE
4056.82,2021-03-01,64,1862.0,06L,NHS IPSWICH AND EAST SUFFOLK
8892.93,2021-03-01,139,3989.0,06N,NHS HERTS VALLEYS
8480.34,2021-03-01,146,3989.0,06Q,NHS MID ESSEX
6267.89,2021-03-01,101,2830.0,06T,NHS NORTH EAST ESSEX
1964.56,2021-03-01,34,938.0,07G,NHS THURROCK
4237.99,2021-03-01,67,1934.0,07H,NHS WEST ESSEX
6741.25,2021-03-01,105,3038.0,07K,NHS WEST SUFFOLK
12461.01,2021-03-01,206,5728.0,09D,NHS BRIGHTON AND HOVE
22772.72,2021-03-01,345,10308.0,10Q,NHS OXFORDSHIRE
2598.67,2021-03-01,69,1130.0,10R,NHS PORTSMOUTH
12574.31,2021-03-01,195,5656.0,11J,NHS DORSET
10831.69,2021-03-01,178,4902.0,11M,NHS GLOUCESTERSHIRE
6601.07,2021-03-01,134,2960.0,11N,NHS CORNWALL AND THE ISLES OF SCILLY
10716.03,2021-03-01,175,4926.0,11X,NHS SOMERSET
32930.24,2021-03-01,565,15330.0,12F,NHS WIRRAL
9935.68,2021-03-01,173,4741.0,13T,NHS NEWCASTLE GATESHEAD
15026.08,2021-03-01,240,6868.0,14L,NHS MANCHESTER
10413.6,2021-03-01,154,4668.0,14Y,NHS BUCKINGHAMSHIRE
13439.57,2021-03-01,232,6193.0,15A,NHS BERKSHIRE WEST
22397.38,2021-03-01,364,10169.0,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE"
8367.54,2021-03-01,125,3695.0,15E,NHS BIRMINGHAM AND SOLIHULL
16024.02,2021-03-01,262,7133.0,15F,NHS LEEDS
21075.37,2021-03-01,354,9712.0,15M,NHS DERBY AND DERBYSHIRE
21773.86,2021-03-01,334,9742.0,15N,NHS DEVON
5580.74,2021-03-01,96,2564.0,16C,NHS TEES VALLEY
13546.95,2021-03-01,217,6106.0,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE
29257.34,2021-03-01,458,12704.0,26A,NHS NORFOLK AND WAVENEY
23651.56,2021-03-01,452,10863.0,27D,NHS CHESHIRE
7037.43,2021-03-01,108,3098.0,36J,NHS BRADFORD DISTRICT AND CRAVEN
51166.77,2021-03-01,775,23658.0,36L,NHS SOUTH WEST LONDON
4605.59,2021-03-01,72,2128.0,42D,NHS NORTH YORKSHIRE
4565.26,2021-03-01,76,2062.0,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE
18220.68,2021-03-01,308,8253.0,70F,NHS WEST SUSSEX
27407.92,2021-03-01,459,12164.0,71E,NHS LINCOLNSHIRE
65868.4,2021-03-01,983,29452.0,72Q,NHS SOUTH EAST LONDON
23008.8,2021-03-01,376,10213.0,78H,NHS NORTHAMPTONSHIRE
10389.97,2021-03-01,170,4739.0,84H,NHS COUNTY DURHAM
78538.19,2021-03-01,1271,35366.0,91Q,NHS KENT AND MEDWAY
43395.13,2021-03-01,662,19817.0,92A,NHS SURREY HEARTLANDS
20999.65,2021-03-01,292,9670.0,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE"
52834.61,2021-03-01,806,24108.0,93C,NHS NORTH CENTRAL LONDON
10132.54,2021-03-01,157,4568.0,97R,NHS EAST SUSSEX
7744.7,2021-03-01,125,3601.0,99A,NHS LIVERPOOL
8980.8,2021-03-01,151,3972.0,99C,NHS NORTH TYNESIDE
7281.52,2021-03-01,119,3395.0,99E,NHS BASILDON AND BRENTWOOD
3234.96,2021-03-01,48,1488.0,99F,NHS CASTLE POINT AND ROCHFORD
4009.14,2021-03-01,65,1890.0,99G,NHS SOUTHEND
32698.05,2021-03-01,502,15119.0,A3A8R,NHS NORTH EAST LONDON
13187.42,2021-03-01,199,6036.0,B2M3M,NHS COVENTRY AND WARWICKSHIRE
13426.53,2021-03-01,218,5937.0,D2P2L,NHS BLACK COUNTRY
22589.67,2021-03-01,382,10095.0,D4U1Y,NHS FRIMLEY
43245.17,2021-03-01,678,19602.0,D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT"
23468.91,2021-03-01,391,10607.0,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES"
19839.56,2021-03-01,315,8823.0,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN"
78981.18,2021-03-01,1135,35783.0,W2U3Z,NHS NORTH WEST LONDON
3141.37,2021-03-01,44,1344.0,X2C4Y,NHS KIRKLEES
9282.83,2021-04-01,154,4235.0,00L,NHS NORTHUMBERLAND
2746.88,2021-04-01,43,1204.0,00N,NHS SOUTH TYNESIDE
4516.07,2021-04-01,74,1941.0,00P,NHS SUNDERLAND
3033.66,2021-04-01,54,1360.0,00Q,NHS BLACKBURN WITH DARWEN
5654.57,2021-04-01,101,2506.0,00R,NHS BLACKPOOL
4942.13,2021-04-01,81,2200.0,00T,NHS BOLTON
4529.94,2021-04-01,75,2101.0,00V,NHS BURY
2569.49,2021-04-01,37,1064.0,00X,NHS CHORLEY AND SOUTH RIBBLE
2649.85,2021-04-01,43,1195.0,00Y,NHS OLDHAM
9887.92,2021-04-01,167,4354.0,01A,NHS EAST LANCASHIRE
9172.28,2021-04-01,148,4317.0,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
3948.94,2021-04-01,61,1773.0,01E,NHS GREATER PRESTON
1850.71,2021-04-01,28,784.0,01F,NHS HALTON
10751.82,2021-04-01,188,4918.0,01G,NHS SALFORD
8495.45,2021-04-01,140,3810.0,01H,NHS NORTH CUMBRIA
756.33,2021-04-01,12,336.0,01J,NHS KNOWSLEY
9575.64,2021-04-01,161,4379.0,01K,NHS MORECAMBE BAY
1233.44,2021-04-01,19,560.0,01T,NHS SOUTH SEFTON
392.17,2021-04-01,6,168.0,01V,NHS SOUTHPORT AND FORMBY
7250.6,2021-04-01,118,3428.0,01W,NHS STOCKPORT
6870.77,2021-04-01,94,3237.0,01X,NHS ST HELENS
6568.96,2021-04-01,124,3136.0,01Y,NHS TAMESIDE AND GLOSSOP
5274.12,2021-04-01,87,2322.0,02A,NHS TRAFFORD
2768.82,2021-04-01,43,1260.0,02E,NHS WARRINGTON
3451.16,2021-04-01,49,1578.0,02G,NHS WEST LANCASHIRE
13049.37,2021-04-01,224,5962.0,02H,NHS WIGAN BOROUGH
3520.1,2021-04-01,56,1562.0,02M,NHS FYLDE AND WYRE
3810.3,2021-04-01,58,1589.0,02P,NHS BARNSLEY
1121.22,2021-04-01,22,490.0,02Q,NHS BASSETLAW
2364.07,2021-04-01,32,1008.0,02T,NHS CALDERDALE
1661.16,2021-04-01,23,756.0,02X,NHS DONCASTER
1384.11,2021-04-01,22,620.0,02Y,NHS EAST RIDING OF YORKSHIRE
2536.75,2021-04-01,44,1129.0,03F,NHS HULL
510.75,2021-04-01,9,224.0,03H,NHS NORTH EAST LINCOLNSHIRE
464.27,2021-04-01,7,196.0,03K,NHS NORTH LINCOLNSHIRE
224.98,2021-04-01,3,84.0,03L,NHS ROTHERHAM
14938.57,2021-04-01,234,6683.0,03N,NHS SHEFFIELD
3188.96,2021-04-01,53,1452.0,03Q,NHS VALE OF YORK
7106.35,2021-04-01,112,3187.0,03R,NHS WAKEFIELD
8864.48,2021-04-01,142,3981.0,03W,NHS EAST LEICESTERSHIRE AND RUTLAND
8935.27,2021-04-01,142,4060.0,04C,NHS LEICESTER CITY
15486.22,2021-04-01,244,6886.0,04V,NHS WEST LEICESTERSHIRE
1955.26,2021-04-01,31,860.0,04Y,NHS CANNOCK CHASE
229.42,2021-04-01,4,112.0,05D,NHS EAST STAFFORDSHIRE
973.89,2021-04-01,15,448.0,05G,NHS NORTH STAFFORDSHIRE
