actual_cost,date,items,quantity,row_id,row_name
3338.27,2021-01-01,56,2478.0,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN"
11397.17,2021-01-01,198,7637.0,W2U3Z,NHS NORTH WEST LONDON
2011.79,2021-01-01,47,1176.0,X2C4Y,NHS KIRKLEES
9102.39,2021-02-01,207,7765.0,00L,NHS NORTHUMBERLAND
2598.51,2021-02-01,61,1834.0,00N,NHS SOUTH TYNESIDE
2648.57,2021-02-01,55,2509.0,00P,NHS SUNDERLAND
1492.66,2021-02-01,30,868.0,00Q,NHS BLACKBURN WITH DARWEN
2784.53,2021-02-01,49,1596.0,00R,NHS BLACKPOOL
1563.31,2021-02-01,37,1326.0,00T,NHS BOLTON
2119.8,2021-02-01,43,1504.0,00V,NHS BURY
1016.09,2021-02-01,19,560.0,00X,NHS CHORLEY AND SOUTH RIBBLE
1591.56,2021-02-01,32,1226.0,00Y,NHS OLDHAM
3136.26,2021-02-01,47,1932.0,01A,NHS EAST LANCASHIRE
1108.0,2021-02-01,21,674.0,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
2380.48,2021-02-01,42,1648.0,01E,NHS GREATER PRESTON
626.73,2021-02-01,10,392.0,01F,NHS HALTON
8686.87,2021-02-01,191,5709.0,01G,NHS SALFORD
2587.31,2021-02-01,41,1756.0,01H,NHS NORTH CUMBRIA
164.56,2021-02-01,3,84.0,01J,NHS KNOWSLEY
2771.83,2021-02-01,55,2168.0,01K,NHS MORECAMBE BAY
298.37,2021-02-01,5,168.0,01T,NHS SOUTH SEFTON
527.87,2021-02-01,9,280.0,01V,NHS SOUTHPORT AND FORMBY
5527.52,2021-02-01,98,4572.0,01W,NHS STOCKPORT
1345.92,2021-02-01,14,752.0,01X,NHS ST HELENS
3961.02,2021-02-01,68,3987.0,01Y,NHS TAMESIDE AND GLOSSOP
1453.02,2021-02-01,28,840.0,02A,NHS TRAFFORD
433.19,2021-02-01,7,252.0,02E,NHS WARRINGTON
1462.68,2021-02-01,21,877.0,02G,NHS WEST LANCASHIRE
4819.91,2021-02-01,92,3142.0,02H,NHS WIGAN BOROUGH
1571.03,2021-02-01,24,924.0,02M,NHS FYLDE AND WYRE
2851.55,2021-02-01,64,1766.0,02P,NHS BARNSLEY
507.48,2021-02-01,10,280.0,02Q,NHS BASSETLAW
1028.69,2021-02-01,17,1362.0,02T,NHS CALDERDALE
954.9,2021-02-01,19,560.0,02X,NHS DONCASTER
704.89,2021-02-01,13,420.0,02Y,NHS EAST RIDING OF YORKSHIRE
747.83,2021-02-01,15,950.0,03F,NHS HULL
1255.12,2021-02-01,20,728.0,03H,NHS NORTH EAST LINCOLNSHIRE
478.03,2021-02-01,9,252.0,03K,NHS NORTH LINCOLNSHIRE
552.09,2021-02-01,9,336.0,03L,NHS ROTHERHAM
5317.26,2021-02-01,94,4098.0,03N,NHS SHEFFIELD
1285.66,2021-02-01,22,1027.0,03Q,NHS VALE OF YORK
2570.51,2021-02-01,47,1684.0,03R,NHS WAKEFIELD
4510.75,2021-02-01,86,3273.0,03W,NHS EAST LEICESTERSHIRE AND RUTLAND
3771.18,2021-02-01,67,4359.0,04C,NHS LEICESTER CITY
6525.75,2021-02-01,142,4933.0,04V,NHS WEST LEICESTERSHIRE
253.73,2021-02-01,4,140.0,04Y,NHS CANNOCK CHASE
433.38,2021-02-01,6,252.0,05D,NHS EAST STAFFORDSHIRE
883.67,2021-02-01,17,525.0,05G,NHS NORTH STAFFORDSHIRE
1169.08,2021-02-01,17,700.0,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
254.64,2021-02-01,4,140.0,05V,NHS STAFFORD AND SURROUNDS
1643.27,2021-02-01,38,1217.0,05W,NHS STOKE ON TRENT
7023.85,2021-02-01,139,4899.0,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH
5069.57,2021-02-01,109,3711.0,06K,NHS EAST AND NORTH HERTFORDSHIRE
2827.87,2021-02-01,49,1694.0,06L,NHS IPSWICH AND EAST SUFFOLK
