actual_cost,date,items,quantity,row_id,row_name
471.83,2021-04-01,5,228.0,01X,NHS ST HELENS
184.16,2021-04-01,3,84.0,01Y,NHS TAMESIDE AND GLOSSOP
1104.61,2021-04-01,20,504.0,02A,NHS TRAFFORD
70.95,2021-04-01,1,28.0,02E,NHS WARRINGTON
440.85,2021-04-01,8,224.0,02G,NHS WEST LANCASHIRE
2146.22,2021-04-01,36,1022.0,02H,NHS WIGAN BOROUGH
1175.9,2021-04-01,18,560.0,02M,NHS FYLDE AND WYRE
2012.94,2021-04-01,26,964.0,02P,NHS BARNSLEY
337.86,2021-04-01,5,174.0,02Q,NHS BASSETLAW
231.12,2021-04-01,4,112.0,02T,NHS CALDERDALE
466.14,2021-04-01,8,224.0,02X,NHS DONCASTER
2370.7,2021-04-01,40,1141.0,02Y,NHS EAST RIDING OF YORKSHIRE
582.38,2021-04-01,13,287.0,03F,NHS HULL
106.69,2021-04-01,2,56.0,03H,NHS NORTH EAST LINCOLNSHIRE
175.28,2021-04-01,2,84.0,03L,NHS ROTHERHAM
4054.57,2021-04-01,62,1881.0,03N,NHS SHEFFIELD
740.05,2021-04-01,13,364.0,03Q,NHS VALE OF YORK
1893.01,2021-04-01,32,924.0,03R,NHS WAKEFIELD
3658.83,2021-04-01,56,1781.0,03W,NHS EAST LEICESTERSHIRE AND RUTLAND
3478.88,2021-04-01,56,1658.0,04C,NHS LEICESTER CITY
5654.04,2021-04-01,86,2716.0,04V,NHS WEST LEICESTERSHIRE
165.38,2021-04-01,3,84.0,04Y,NHS CANNOCK CHASE
54.52,2021-04-01,1,28.0,05G,NHS NORTH STAFFORDSHIRE
234.51,2021-04-01,4,112.0,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA
122.08,2021-04-01,2,56.0,05V,NHS STAFFORD AND SURROUNDS
115.56,2021-04-01,2,56.0,05W,NHS STOKE ON TRENT
2293.1,2021-04-01,36,1108.0,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH
1351.86,2021-04-01,20,618.0,06K,NHS EAST AND NORTH HERTFORDSHIRE
1098.12,2021-04-01,14,560.0,06L,NHS IPSWICH AND EAST SUFFOLK
288.48,2021-04-01,3,140.0,06N,NHS HERTS VALLEYS
912.71,2021-04-01,16,452.0,06Q,NHS MID ESSEX
622.33,2021-04-01,10,294.0,06T,NHS NORTH EAST ESSEX
1940.02,2021-04-01,28,959.0,07G,NHS THURROCK
4314.65,2021-04-01,64,2166.0,07H,NHS WEST ESSEX
712.87,2021-04-01,11,322.0,07K,NHS WEST SUFFOLK
576.93,2021-04-01,13,280.0,09D,NHS BRIGHTON AND HOVE
732.95,2021-04-01,11,364.0,10Q,NHS OXFORDSHIRE
227.46,2021-04-01,4,112.0,10R,NHS PORTSMOUTH
6395.82,2021-04-01,87,3108.0,11J,NHS DORSET
321.87,2021-04-01,5,140.0,11M,NHS GLOUCESTERSHIRE
3518.29,2021-04-01,57,1596.0,11N,NHS CORNWALL AND THE ISLES OF SCILLY
263.98,2021-04-01,4,112.0,11X,NHS SOMERSET
768.72,2021-04-01,11,364.0,12F,NHS WIRRAL
941.45,2021-04-01,16,432.0,13T,NHS NEWCASTLE GATESHEAD
1759.96,2021-04-01,28,840.0,14L,NHS MANCHESTER
1114.03,2021-04-01,13,532.0,14Y,NHS BUCKINGHAMSHIRE
834.68,2021-04-01,15,397.0,15A,NHS BERKSHIRE WEST
61.04,2021-04-01,1,28.0,15E,NHS BIRMINGHAM AND SOLIHULL
1147.18,2021-04-01,15,504.0,15F,NHS LEEDS
14997.0,2021-04-01,239,6954.0,15M,NHS DERBY AND DERBYSHIRE
