financial_year,icb_name,identified_patients,total_items,nic_gbp
2017/2018,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,3521.0,25712.0,1169711.53
2017/2018,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,3666.0,25360.0,1199092.66
2017/2018,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,2708.0,28441.0,931543.77
2017/2018,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,3869.0,30981.0,1183329.73
2017/2018,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",869.0,8707.0,378603.88000000006
2017/2018,NHS SOMERSET INTEGRATED CARE BOARD,1270.0,10464.0,439490.23
2017/2018,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,4317.0,30252.0,1457367.5
2017/2018,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,3518.0,27413.0,1205459.3900000001
2017/2018,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,3311.0,31954.0,1224543.88
2017/2018,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,1318.0,12694.0,493684.97
2017/2018,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,2524.0,23140.0,855170.5499999999
2017/2018,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,3914.0,31950.0,1402705.45
2017/2018,NHS SUSSEX INTEGRATED CARE BOARD,3960.0,35484.0,1458547.0499999998
2017/2018,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,2976.0,27281.0,1128601.7000000002
2017/2018,UNKNOWN ICB,2606.0,12244.0,521162.29
2018/2019,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2110.0,14280.0,590456.84
2018/2019,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",3215.0,27380.0,1071831.83
2018/2019,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,2249.0,14130.0,655316.15
2018/2019,NHS BLACK COUNTRY INTEGRATED CARE BOARD,3115.0,31892.0,1263908.38
2018/2019,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",2201.0,18321.0,795307.22
2018/2019,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",4972.0,40630.0,1602384.38
2018/2019,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,2323.0,22463.0,911443.5700000001
2018/2019,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,9734.0,80235.0,3165624.21
2018/2019,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,1109.0,10942.0,406298.18
2018/2019,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,1480.0,14411.0,531593.28
2018/2019,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,3387.0,30687.0,1170153.92
2018/2019,NHS DEVON INTEGRATED CARE BOARD,3118.0,29443.0,1096296.09
2018/2019,NHS DORSET INTEGRATED CARE BOARD,2267.0,19446.0,839307.61
2018/2019,NHS FRIMLEY INTEGRATED CARE BOARD,2159.0,17138.0,741716.06
2018/2019,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,1268.0,11371.0,400496.43
2018/2019,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,7672.0,72199.0,3057120.69
2018/2019,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,4398.0,37122.0,1624748.67
2018/2019,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,2563.0,23180.0,899985.25
2018/2019,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,3646.0,29713.0,1216124.35
2018/2019,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,2576.0,24014.0,942504.11
2018/2019,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,8482.0,75047.0,3259027.3
2018/2019,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,4767.0,45642.0,1837110.19
2018/2019,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",4019.0,32184.0,1313423.69
2018/2019,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,2472.0,23680.0,864243.72
2018/2019,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,4308.0,37313.0,1373369.3599999999
2018/2019,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,4187.0,40814.0,1529931.1600000001
2018/2019,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,3343.0,23332.0,1163805.64
2018/2019,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,8323.0,85379.0,3295320.32
2018/2019,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,4021.0,28095.0,1247538.25
2018/2019,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,4209.0,29068.0,1404581.0699999998
2018/2019,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,3058.0,30451.0,987127.55
2018/2019,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,4120.0,33317.0,1220577.05
2018/2019,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",932.0,9530.0,393302.26
2018/2019,NHS SOMERSET INTEGRATED CARE BOARD,1369.0,11274.0,465115.25
2018/2019,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,4811.0,33730.0,1632280.6900000002
2018/2019,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,3982.0,31301.0,1328981.28
2018/2019,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,3526.0,33085.0,1168872.2999999998
2018/2019,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,1442.0,13615.0,518545.72
2018/2019,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,2784.0,26031.0,926044.0500000002
2018/2019,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,4121.0,33849.0,1491627.72
2018/2019,NHS SUSSEX INTEGRATED CARE BOARD,4392.0,38526.0,1602367.72
2018/2019,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,3256.0,29739.0,1235176.27
2018/2019,UNKNOWN ICB,1719.0,4872.0,212163.82
2019/2020,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2698.0,18819.0,834536.04
2019/2020,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",3498.0,31251.0,1210486.67
2019/2020,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,3601.0,21115.0,1070455.05
2019/2020,NHS BLACK COUNTRY INTEGRATED CARE BOARD,3242.0,35973.0,1420576.35
2019/2020,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",2580.0,21567.0,948760.54
2019/2020,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",5767.0,48959.0,1903564.43
2019/2020,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,2457.0,24931.0,1007615.4600000001
2019/2020,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,11062.0,92998.0,3675119.13
2019/2020,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,1276.0,12432.0,456741.85000000003
2019/2020,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,1679.0,17588.0,639986.1900000001
2019/2020,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,4027.0,37176.0,1336559.75
2019/2020,NHS DEVON INTEGRATED CARE BOARD,3418.0,34117.0,1278265.57
2019/2020,NHS DORSET INTEGRATED CARE BOARD,2470.0,22164.0,963924.38
2019/2020,NHS FRIMLEY INTEGRATED CARE BOARD,2479.0,20306.0,890778.6
2019/2020,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,1382.0,12989.0,464020.07
2019/2020,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,8549.0,83407.0,3498757.04
2019/2020,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,4957.0,43455.0,1835026.7399999998
2019/2020,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,3014.0,28097.0,1035868.6299999999
2019/2020,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,4149.0,35881.0,1413505.26
2019/2020,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,2655.0,25650.0,1028982.42
2019/2020,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,9134.0,82658.0,3560622.7
2019/2020,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,5130.0,49912.0,2042404.05
2019/2020,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",4823.0,41445.0,1669281.67
2019/2020,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,2969.0,28722.0,1024955.74
2019/2020,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,4919.0,44494.0,1611288.91
2019/2020,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,4299.0,44872.0,1637818.82
2019/2020,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,3937.0,29519.0,1458320.62
2019/2020,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,8800.0,93440.0,3556636.25
2019/2020,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,6294.0,38406.0,1969902.1199999999
2019/2020,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,5230.0,38299.0,1820461.3
2019/2020,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,3300.0,34146.0,1127249.65
2019/2020,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,4379.0,37280.0,1293447.44
2019/2020,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",1081.0,10402.0,447656.67
2019/2020,NHS SOMERSET INTEGRATED CARE BOARD,1455.0,12743.0,529655.25
2019/2020,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,5418.0,40938.0,1971665.35
2019/2020,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,4700.0,38268.0,1605157.8
2019/2020,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,3938.0,38140.0,1327734.67
2019/2020,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,1474.0,15117.0,570818.3899999999
2019/2020,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,3143.0,30067.0,1025267.82
2019/2020,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,4728.0,39907.0,1763214.26
2019/2020,NHS SUSSEX INTEGRATED CARE BOARD,4946.0,44492.0,1854641.02
2019/2020,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,3599.0,34451.0,1425905.34
2019/2020,UNKNOWN ICB,545.0,1111.0,54387.18000000001
2020/2021,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2882.0,20213.0,917539.5599999999
2020/2021,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",3493.0,31513.0,1225359.25
2020/2021,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,3004.0,19300.0,984722.3
