ORG_CODE1,ORG_NAME1,ICB_NAME,FY_LABEL,mean_6wk_pct,n_months
03K,NHS HUMBER AND NORTH YORKSHIRE ICB - 03K,NHS HUMBER AND NORTH YORKSHIRE ICB,2024/25,99.75,4
03K,NHS HUMBER AND NORTH YORKSHIRE ICB - 03K,NHS HUMBER AND NORTH YORKSHIRE ICB,2025/26,96.33333333333333,9
03Q,NHS HUMBER AND NORTH YORKSHIRE ICB - 03Q,NHS HUMBER AND NORTH YORKSHIRE ICB,2024/25,98.0,4
03Q,NHS HUMBER AND NORTH YORKSHIRE ICB - 03Q,NHS HUMBER AND NORTH YORKSHIRE ICB,2025/26,91.22222222222223,9
42D,NHS HUMBER AND NORTH YORKSHIRE ICB - 42D,NHS HUMBER AND NORTH YORKSHIRE ICB,2024/25,99.25,4
42D,NHS HUMBER AND NORTH YORKSHIRE ICB - 42D,NHS HUMBER AND NORTH YORKSHIRE ICB,2025/26,98.0,9
91Q,NHS KENT AND MEDWAY ICB - 91Q,NHS KENT AND MEDWAY ICB,2024/25,83.0,4
91Q,NHS KENT AND MEDWAY ICB - 91Q,NHS KENT AND MEDWAY ICB,2025/26,93.55555555555556,9
00Q,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00Q,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2024/25,98.5,4
00Q,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00Q,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2025/26,92.11111111111111,9
00R,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00R,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2024/25,96.0,4
00R,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00R,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2025/26,95.66666666666667,9
00X,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00X,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2024/25,93.0,4
00X,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00X,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2025/26,82.66666666666667,9
01A,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01A,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2024/25,94.5,4
01A,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01A,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2025/26,94.11111111111111,9
01E,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01E,NHS LANCASHIRE AND SOUTH CUMBRIA ICB,2024/25,99.0,4
