actual_cost,date,items,quantity,row_id,row_name
8516.98,2021-01-01,89,9508.0,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES"
4228.66,2021-01-01,62,4324.0,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN"
27806.92,2021-01-01,322,28057.0,W2U3Z,NHS NORTH WEST LONDON
1498.97,2021-01-01,12,1618.0,X2C4Y,NHS KIRKLEES
2042.86,2021-02-01,32,2338.0,00L,NHS NORTHUMBERLAND
428.72,2021-02-01,8,506.0,00N,NHS SOUTH TYNESIDE
1305.79,2021-02-01,21,1520.0,00P,NHS SUNDERLAND
1532.54,2021-02-01,15,1820.0,00Q,NHS BLACKBURN WITH DARWEN
714.52,2021-02-01,6,784.0,00R,NHS BLACKPOOL
745.69,2021-02-01,7,906.0,00T,NHS BOLTON
151.78,2021-02-01,4,154.0,00V,NHS BURY
1209.72,2021-02-01,11,1428.0,00X,NHS CHORLEY AND SOUTH RIBBLE
529.84,2021-02-01,5,644.0,00Y,NHS OLDHAM
2104.88,2021-02-01,19,2498.0,01A,NHS EAST LANCASHIRE
390.43,2021-02-01,5,402.0,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE"
1775.47,2021-02-01,15,1742.0,01E,NHS GREATER PRESTON
1728.38,2021-02-01,18,1358.0,01G,NHS SALFORD
2681.6,2021-02-01,33,2939.0,01H,NHS NORTH CUMBRIA
184.28,2021-02-01,1,224.0,01J,NHS KNOWSLEY
3805.98,2021-02-01,43,4239.0,01K,NHS MORECAMBE BAY
138.23,2021-02-01,2,168.0,01T,NHS SOUTH SEFTON
207.6,2021-02-01,1,84.0,01V,NHS SOUTHPORT AND FORMBY
472.51,2021-02-01,5,504.0,01W,NHS STOCKPORT
69.11,2021-02-01,1,84.0,01X,NHS ST HELENS
1275.75,2021-02-01,14,1466.0,01Y,NHS TAMESIDE AND GLOSSOP
1221.23,2021-02-01,9,1512.0,02A,NHS TRAFFORD
129.21,2021-02-01,2,142.0,02E,NHS WARRINGTON
899.19,2021-02-01,9,980.0,02G,NHS WEST LANCASHIRE
876.57,2021-02-01,15,945.0,02H,NHS WIGAN BOROUGH
1808.83,2021-02-01,14,2114.0,02M,NHS FYLDE AND WYRE
923.06,2021-02-01,14,990.0,02P,NHS BARNSLEY
322.53,2021-02-01,5,392.0,02Q,NHS BASSETLAW
1332.22,2021-02-01,11,1604.0,02T,NHS CALDERDALE
1073.89,2021-02-01,10,1290.0,02X,NHS DONCASTER
1126.14,2021-02-01,14,1074.0,02Y,NHS EAST RIDING OF YORKSHIRE
