date,drug,total_items,nic_gbp
2022-02-01,methylphenidate,100864.0,3147575.51
2022-03-01,methylphenidate,118258.0,3660067.05
2022-04-01,methylphenidate,108863.0,3409065.66
2022-05-01,methylphenidate,117224.0,3701292.17
2022-06-01,methylphenidate,117911.0,3738422.58
2022-07-01,methylphenidate,114095.0,3639103.88
2022-08-01,methylphenidate,108651.0,3469091.54
2022-09-01,methylphenidate,119151.0,3771067.04
2022-10-01,methylphenidate,117567.0,3735192.8
2022-11-01,methylphenidate,124102.0,3972027.03
2022-12-01,methylphenidate,118433.0,3837349.76
2023-01-01,methylphenidate,122112.0,3930223.05
2023-02-01,methylphenidate,119826.0,3870204.83
2023-03-01,methylphenidate,139717.0,4475075.57
2023-04-01,methylphenidate,120418.0,3882440.88
2023-05-01,methylphenidate,133643.0,4262835.28
2023-06-01,methylphenidate,136482.0,4360350.52
2023-07-01,methylphenidate,131924.0,4238931.37
2023-08-01,methylphenidate,126105.0,4073967.03
2023-09-01,methylphenidate,134900.0,4236018.93
2023-10-01,methylphenidate,141830.0,4516118.64
2023-11-01,methylphenidate,144714.0,4647559.81
2023-12-01,methylphenidate,140145.0,4554321.21
2024-01-01,methylphenidate,149293.0,4867554.82
2024-02-01,methylphenidate,138259.0,4408942.86
2024-03-01,methylphenidate,144252.0,4481365.44
2024-04-01,methylphenidate,145278.0,4553955.3
2024-05-01,methylphenidate,150650.0,4654104.84
2024-06-01,methylphenidate,141710.0,4551546.68
2024-07-01,methylphenidate,146357.0,4849752.45
2024-08-01,methylphenidate,131306.0,4348145.62
2024-09-01,methylphenidate,143196.0,4650456.84
2024-10-01,methylphenidate,148698.0,4865888.9
2024-11-01,methylphenidate,145677.0,4776866.95
2024-12-01,methylphenidate,150334.0,4958255.6
2025-01-01,methylphenidate,159768.0,5282015.1
2025-02-01,methylphenidate,145112.0,4822595.0
2025-03-01,methylphenidate,162196.0,5262350.26
